pathway	size	pval	padj	NES
RIBOSOMAL SMALL SUBUNIT ASSEMBLY%GOBP%GO:0000028	17	0.0097	0.0346	-1.7345
CELLULAR RESPONSE TO NERVE GROWTH FACTOR STIMULUS%GOBP%GO:1990090	22	0.0083	0.0306	1.7476
DEPHOSPHORYLATION%GOBP%GO:0016311	145	0.0006	0.0037	1.6875
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.4	102	7.582e-11	5.5168e-9	-2.4256
INTERLEUKIN 1 IL 1 STRUCTURAL PATHWAY%WIKIPATHWAYS_20240410%WP2637%HOMO SAPIENS	41	0.0000018953	0	2.2794
THIOESTER METABOLIC PROCESS%GOBP%GO:0035383	85	0.005	0.0206	-1.5929
CELLULAR RESPONSE TO OXYGEN LEVELS%GOBP%GO:0071453	90	0.006	0.0237	1.5497
IL 17 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP2112%HOMO SAPIENS	27	0.0004	0.003	1.9915
POSITIVE REGULATION OF LIPID LOCALIZATION%GOBP%GO:1905954	81	0.0005	0.0036	1.7729
AMINO ACID BIOSYNTHETIC PROCESS%GOBP%GO:0008652	60	0.0001	0.0011	-1.9516
MYOMETRIAL RELAXATION AND CONTRACTION PATHWAYS%WIKIPATHWAYS_20240410%WP289%HOMO SAPIENS	126	0.0102	0.0361	1.5223
EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0001837	70	0.0111	0.0379	1.5954
PROCESS UTILIZING AUTOPHAGIC MECHANISM%GOBP%GO:0061919	218	0.0003	0.002	1.6031
NEGATIVE REGULATION OF CELL POPULATION PROLIFERATION%GOBP%GO:0008285	489	2.7589e-10	1.7207e-8	1.8869
SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	137	0	0.0003	-1.8128
NEGATIVE REGULATION OF PROTEASOMAL PROTEIN CATABOLIC PROCESS%GOBP%GO:1901799	49	0.0122	0.0409	1.5828
HYPER-IGD SYNDROME%SMPDB%SMP0000509	21	0.0026	0.0124	-1.8161
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.7	96	3.2546e-10	2.0093e-8	2.4
SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 81%1236394	54	0.0006	0.0039	1.8842
BIOCARTA_P38MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_P38MAPK_PATHWAY	29	0.0049	0.0203	1.7644
HOMOLOGY DIRECTED REPAIR%REACTOME DATABASE ID RELEASE 81%5693538	122	0.0000010917	0	-1.9915
REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002831	466	9.2379e-16	4.033e-13	2.1295
STEROID HORMONE MEDIATED SIGNALING PATHWAY%GOBP%GO:0043401	52	0.0148	0.0475	1.5838
NO CGMP PKG MEDIATED NEUROPROTECTION%WIKIPATHWAYS_20240410%WP4008%HOMO SAPIENS	35	0.0018	0.0096	1.9223
'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	31	0.0055	0.0221	1.7029
LIPID OXIDATION%GOBP%GO:0034440	73	0.0001	0.0008	-1.9219
POSITIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090100	81	0.0004	0.0026	1.8767
BIOCARTA_STRESS_PATHWAY%MSIGDB_C2%BIOCARTA_STRESS_PATHWAY	24	0.0002	0.0017	2.0177
MET PROMOTES CELL MOTILITY%REACTOME DATABASE ID RELEASE 81%8875878	28	0.0127	0.0421	1.671
INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0140888	51	6.2047e-7	0	2.3533
INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297	40	0.0001	0.0008	-2.0191
PROXIMAL TUBULE TRANSPORT%WIKIPATHWAYS_20240410%WP4917%HOMO SAPIENS	48	0.0062	0.0244	1.7702
BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	28	0.0093	0.0336	-1.6914
STEROID BIOSYNTHESIS%PATHWHIZ%PW000050	21	0.0026	0.0124	-1.8161
REGULATION OF SPINDLE CHECKPOINT%GOBP%GO:0090231	23	0.0089	0.0324	-1.7055
HEME METABOLIC PROCESS%GOBP%GO:0042168	34	0.0104	0.0364	-1.7033
REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0048024	95	0.0000034429	0.0001	2.0572
RESPONSE TO CHEMOKINE%GOBP%GO:1990868	68	0.0000012903	0	2.2278
HYPERGLYCINEMIA, NON-KETOTIC%SMPDB%SMP0000485	24	0.0013	0.0072	-1.8689
RESPONSE TO GROWTH FACTOR%GOBP%GO:0070848	316	1.5761e-10	1.0471e-8	2.0322
2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394	29	0.0011	0.0061	-1.8963
EMBRYO DEVELOPMENT%GOBP%GO:0009790	443	0.0001	0.0012	1.5635
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	102	1.1572e-11	1.1051e-9	-2.5083
POSITIVE REGULATION OF TORC1 SIGNALING%GOBP%GO:1904263	53	0.0008	0.0046	1.8702
ESTABLISHMENT OF ENDOTHELIAL BARRIER%GOBP%GO:0061028	29	0.0001	0.0009	2.0867
POSITIVE REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032481	68	0.0000010853	0	2.1788
REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901990	285	0.0000031642	0.0001	-1.6886
INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 81%168255	154	0.0000026361	0	-1.8977
CIRCADIAN RHYTHM%GOBP%GO:0007623	99	0	0.0002	1.9426
REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031344	488	0.0042	0.0179	1.3694
RESPONSE TO PEPTIDE HORMONE%GOBP%GO:0043434	195	0.0001	0.0007	1.7369
PID_NECTIN_PATHWAY%MSIGDB_C2%PID_NECTIN_PATHWAY	24	0.0049	0.0201	1.7781
OXIDATIVE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559580.7	89	0.0002	0.0014	1.8626
HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING	93	0.0001	0.0008	1.8927
BMAL1:CLOCK,NPAS2 ACTIVATES CIRCADIAN GENE EXPRESSION%REACTOME DATABASE ID RELEASE 81%1368108	27	0.0029	0.0136	1.8042
REPLICATION FORK PROCESSING%GOBP%GO:0031297	48	0.0001	0.0007	-2.0379
SIGNALING BY RECEPTOR TYROSINE KINASES%REACTOME%R-HSA-9006934.8	504	3.6802e-10	2.1737e-8	1.8645
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR) OR SINGLE STRAND ANNEALING (SSA)%REACTOME DATABASE ID RELEASE 81%5693567	116	0.0000087849	0.0001	-1.9198
POSITIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903039	222	1.6138e-10	1.0606e-8	2.14
EPITHELIAL TO MESENCHYMAL TRANSITION IN COLORECTAL CANCER%WIKIPATHWAYS_20240410%WP4239%HOMO SAPIENS	135	0.0145	0.0468	1.4656
POSITIVE REGULATION OF CELL GROWTH%GOBP%GO:0030307	111	0.0109	0.0376	1.4771
POSITIVE REGULATION OF LEUKOCYTE APOPTOTIC PROCESS%GOBP%GO:2000108	21	0.0001	0.0006	2.1222
REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051249	378	5.8133e-9	2.5199e-7	1.9049
T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002286	56	0.0084	0.0308	1.7294
GLYCOGENOSIS, TYPE IA. VON GIERKE DISEASE%SMPDB%SMP0000581	22	0.0024	0.012	-1.7847
TOLL RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00054	37	0	0.0004	2.142
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	99	0.0136	0.0444	1.5064
RNA POLYMERASE II PREINITIATION COMPLEX ASSEMBLY%GOBP%GO:0051123	59	0.0142	0.0459	1.5795
NUCLEAR DNA REPLICATION%GOBP%GO:0033260	24	0.0001	0.0005	-2.0966
REGULATION OF PLATELET-DERIVED GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0010640	19	0.0107	0.0371	1.7194
DISEASES OF DNA REPAIR%REACTOME%R-HSA-9675135.6	50	0.0000047317	0.0001	-2.1225
MATURATION OF NUCLEOPROTEIN%REACTOME%R-HSA-9694631.7	15	0.014	0.0454	1.6804
PLEURAL MESOTHELIOMA%WIKIPATHWAYS_20240410%WP5087%HOMO SAPIENS	369	0.0000026466	0	1.6964
DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	127	2.7811e-12	4.1743e-10	-2.4549
NEGATIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010948	237	0.0003	0.0022	-1.5563
CILIUM ASSEMBLY%REACTOME DATABASE ID RELEASE 81%5617833	186	0.0031	0.014	-1.458
TRANS-GOLGI NETWORK VESICLE BUDDING%REACTOME DATABASE ID RELEASE 81%199992	72	0.0042	0.0179	1.6724
G2 M DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69473.7	77	0.0134	0.044	-1.4929
NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142	89	0.0000090724	0.0001	-2.0321
GLUCONEOGENESIS%PATHWHIZ%PW000152	22	0.0024	0.012	-1.7847
REGULATION OF CELLULAR SENESCENCE%GOBP%GO:2000772	36	0.0042	0.0179	1.7905
ONCOSTATIN M SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP2374%HOMO SAPIENS	50	9.5538e-7	0	2.2304
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR%GOBP%GO:1902254	17	0.0107	0.0371	1.7056
NRIF SIGNALS CELL DEATH FROM THE NUCLEUS%REACTOME%R-HSA-205043.3	16	0.0076	0.0286	1.7515
IL1 AND MEGAKARYOCYTES IN OBESITY%WIKIPATHWAYS_20240410%WP2865%HOMO SAPIENS	20	0.0014	0.0079	1.8925
REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010632	206	0.0001	0.0006	1.7201
CDC42 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CDC42 SIGNALING EVENTS	70	0.0146	0.0468	1.5109
DRAVET SYNDROME%WIKIPATHWAYS_20240410%WP5200%HOMO SAPIENS	25	0.003	0.014	1.8334
LYMPHOCYTE COSTIMULATION%GOBP%GO:0031294	37	0.0121	0.0408	1.666
POSITIVE REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030511	25	0.0032	0.0146	1.7922
ANDROGEN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030521	19	0.0064	0.025	1.7623
TAR SYNDROME%WIKIPATHWAYS_20240410%WP5362%HOMO SAPIENS	56	0.0106	0.0369	1.6416
MRNA 3'-END PROCESSING%REACTOME DATABASE ID RELEASE 81%72187	57	0.0141	0.0455	1.4989
TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR	133	0.0001	0.0012	1.7851
TUBE MORPHOGENESIS%GOBP%GO:0035239	333	0.0054	0.022	1.4014
RESPONSE TO INTERFERON-BETA%GOBP%GO:0035456	30	0.0079	0.0295	1.6524
IL 1 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP195%HOMO SAPIENS	47	5.0015e-8	0.0000016435	2.4022
MYELOID CELL DIFFERENTIATION%GOBP%GO:0030099	172	0.0059	0.0235	1.4821
NEGATIVE REGULATION OF HEMOPOIESIS%GOBP%GO:1903707	75	0.0031	0.0143	1.7212
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS%GOBP%GO:1902850	121	0.0000035751	0.0001	-1.9546
HEART VALVE MORPHOGENESIS%GOBP%GO:0003179	56	0.0071	0.0273	1.6651
MEMBRANE BIOGENESIS%GOBP%GO:0044091	57	0.0019	0.0099	1.7901
REGULATION OF PROTEIN UBIQUITINATION%GOBP%GO:0031396	166	0.0022	0.0112	1.5489
RESPONSE TO MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0002237	189	1.5305e-11	1.3756e-9	2.2489
NEGATIVE REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051985	31	0	0.0002	-2.2044
NUCLEOTIDE EXCISION REPAIR IN XERODERMA PIGMENTOSUM %WIKIPATHWAYS_20240410%WP5114%HOMO SAPIENS	47	0.0047	0.0198	-1.7095
REGULATION OF LIPID TRANSPORT%GOBP%GO:0032368	100	0.0105	0.0367	1.5299
NEGATIVE REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031400	321	0.0001	0.001	1.5766
REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002822	147	8.9175e-11	6.4122e-9	2.2738
ACYL-COA METABOLIC PROCESS%GOBP%GO:0006637	85	0.005	0.0206	-1.5929
MACROAUTOPHAGY%GOBP%GO:0016236	190	0.0011	0.0065	1.5415
PEROXISOMAL PROTEIN IMPORT%REACTOME%R-HSA-9033241.5	60	0.0028	0.0132	-1.6471
TP53 REGULATES TRANSCRIPTION OF ADDITIONAL CELL CYCLE GENES WHOSE EXACT ROLE IN THE P53 PATHWAY REMAIN UNCERTAIN%REACTOME%R-HSA-6804115.2	21	0.0055	0.0221	1.7676
B CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP23%HOMO SAPIENS	83	0.0074	0.0279	1.5796
REGULATION OF BONE MINERALIZATION%GOBP%GO:0030500	63	0.0016	0.0086	1.7294
VIRAL RELEASE FROM HOST CELL%GOBP%GO:0019076	28	0.0001	0.0009	2.088
PROTEIN FOLDING%GOBP%GO:0006457	185	0.008	0.0297	1.4271
STEROL BIOSYNTHETIC PROCESS%GOBP%GO:0016126	30	0.0014	0.0077	-1.7822
POSITIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050867	295	1.647e-9	8.053e-8	2.0078
FOCAL ADHESION%WIKIPATHWAYS_20240410%WP306%HOMO SAPIENS	161	0.0012	0.007	1.5992
SECONDARY ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902653	26	0.0023	0.0114	-1.8441
SIGNALING BY TGF-BETA RECEPTOR COMPLEX%REACTOME%R-HSA-170834.4	91	0.0000033465	0.0001	2.0161
PID_BMP_PATHWAY%MSIGDB_C2%PID_BMP_PATHWAY	34	0.0003	0.0025	1.9905
RAS PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0007265	74	0.0006	0.0036	1.8274
RESPONSE TO ORGANONITROGEN COMPOUND%GOBP%GO:0010243	526	0.0000038134	0.0001	1.6234
RIPK1-MEDIATED REGULATED NECROSIS%REACTOME DATABASE ID RELEASE 81%5213460	30	0.0006	0.004	1.9024
PID_ATF2_PATHWAY%MSIGDB_C2%PID_ATF2_PATHWAY	54	0.0000074181	0.0001	2.1488
HYPERCHOLESTEROLEMIA%PATHWHIZ%PW000221	21	0.0026	0.0124	-1.8161
INNATE IMMUNE RESPONSE-ACTIVATING SIGNALING PATHWAY%GOBP%GO:0002758	130	1.6315e-7	0.0000043735	2.0744
POSITIVE REGULATION OF MAP KINASE ACTIVITY%GOBP%GO:0043406	76	0.0001	0.0012	1.9255
CELLULAR RESPONSE TO TYPE II INTERFERON%GOBP%GO:0071346	47	7.5839e-7	0	2.2881
UB-SPECIFIC PROCESSING PROTEASES%REACTOME DATABASE ID RELEASE 81%5689880	203	0.0024	0.0119	1.5513
MELANOMA%WIKIPATHWAYS_20240410%WP4685%HOMO SAPIENS	55	0.0081	0.03	1.661
PID_IL6_7_PATHWAY%MSIGDB_C2%PID_IL6_7_PATHWAY	39	0.0024	0.0119	1.8213
MEIOSIS I CELL CYCLE PROCESS%GOBP%GO:0061982	100	0.0001	0.0011	-1.8431
GENERATION OF PRECURSOR METABOLITES AND ENERGY%GOBP%GO:0006091	278	0.0004	0.0026	-1.5292
SIGNALING BY FGFR3%REACTOME%R-HSA-5654741.4	32	0.0093	0.0333	1.7087
REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	80	0.0001	0.0006	1.9108
INACTIVATION OF CSF3 (G-CSF) SIGNALING%REACTOME%R-HSA-9705462.2	25	0.0001	0.0011	2.0504
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	66	0.0033	0.015	1.6613
TRYPTOPHAN METABOLISM%WIKIPATHWAYS_20240410%WP465%HOMO SAPIENS	29	0.0049	0.0203	1.7502
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	80	3.0051e-12	4.1743e-10	-2.6642
EML4 AND NUDC IN MITOTIC SPINDLE FORMATION%REACTOME%R-HSA-9648025.3	95	0	0.0005	-1.8217
PYRUVATE KINASE DEFICIENCY%PATHWHIZ%PW000535	21	0.0107	0.0371	-1.6562
RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0032496	172	7.4358e-11	5.4756e-9	2.2578
ATP METABOLIC PROCESS%GOBP%GO:0046034	133	0.0003	0.0025	-1.7227
CHROMOSOMAL AND MICROSATELLITE INSTABILITY IN COLORECTAL CANCER %WIKIPATHWAYS_20240410%WP4216%HOMO SAPIENS	62	0.0005	0.0032	1.8675
POSITIVE REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001819	407	5.6324e-13	1.2109e-10	2.081
INTERACTIONS BETWEEN IMMUNE CELLS AND MICRORNAS IN TUMOR MICROENVIRONMENT%WIKIPATHWAYS_20240410%WP4559%HOMO SAPIENS	20	0.0001	0.001	2.0758
PROTEIN POLYUBIQUITINATION%GOBP%GO:0000209	241	0.0009	0.0052	1.547
ARTERY DEVELOPMENT%GOBP%GO:0060840	47	0.0124	0.0413	1.6279
L-AMINO ACID METABOLIC PROCESS%GOBP%GO:0170033	127	0.0000025571	0	-1.9764
MEIOTIC CELL CYCLE%GOBP%GO:0051321	169	4.7278e-7	0	-2.0297
MITOTIC PROMETAPHASE%REACTOME DATABASE ID RELEASE 81%68877	184	7.2445e-10	3.9534e-8	-2.1351
METABOLIC EPILEPTIC DISORDERS%WIKIPATHWAYS_20240410%WP5355%HOMO SAPIENS	78	0.0004	0.0026	-1.84
PYRIDINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0019364	38	0.0041	0.0177	-1.6713
PCNA-DEPENDENT LONG PATCH BASE EXCISION REPAIR%REACTOME%R-HSA-5651801.3	21	0.0001	0.0008	-2.1186
CCR1%IOB%CCR1	25	0.0091	0.0329	1.7319
PROTEIN DEPHOSPHORYLATION%GOBP%GO:0006470	99	0.0008	0.0049	1.7148
REGULATION OF CELLULAR COMPONENT SIZE%GOBP%GO:0032535	241	0.0157	0.0495	1.3773
REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097	42	0.0007	0.0046	1.9134
GENES RELATED TO PRIMARY CILIUM DEVELOPMENT BASED ON CRISPR %WIKIPATHWAYS_20240410%WP4536%HOMO SAPIENS	90	0.0104	0.0365	-1.4873
COPII-MEDIATED VESICLE TRANSPORT%REACTOME DATABASE ID RELEASE 81%204005	67	0	0.0001	2.0675
PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY	55	0.0015	0.0082	1.7782
REGULATION OF MIRNA TRANSCRIPTION%GOBP%GO:1902893	66	0.0012	0.0068	1.8016
CANONICAL NF-KAPPAB SIGNAL TRANSDUCTION%GOBP%GO:0007249	40	7.7195e-8	0.0000023591	2.4101
CLASS I MHC MEDIATED ANTIGEN PROCESSING & PRESENTATION%REACTOME%R-HSA-983169.5	381	0	0.0005	1.6068
GOLGI VESICLE TRANSPORT%GOBP%GO:0048193	279	0.0098	0.0349	1.3626
SEMI-LUNAR VALVE DEVELOPMENT%GOBP%GO:1905314	48	0.0077	0.029	1.7154
TH17 CELL DIFFERENTIATION PATHWAY%WIKIPATHWAYS_20240410%WP5130%HOMO SAPIENS	61	0.0000014865	0	2.2545
DNA CONFORMATION CHANGE%GOBP%GO:0071103	58	0.001	0.006	-1.7331
OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20240410%WP5095%HOMO SAPIENS	126	4.7643e-14	1.7129e-11	2.74
MATERNAL TO ZYGOTIC TRANSITION (MZT)%REACTOME DATABASE ID RELEASE 81%9816359	89	0.0003	0.0022	1.8605
TRANSLATION INITIATION COMPLEX FORMATION%REACTOME%R-HSA-72649.4	59	0.0007	0.0045	-1.7948
LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002443	214	0.0095	0.034	1.4911
SUPERPATHWAY OF PURINE NUCLEOTIDE SALVAGE%BIOCYC%PWY66-409	30	0.0074	0.0279	-1.7462
HEART VALVE DEVELOPMENT%GOBP%GO:0003170	66	0.0028	0.013	1.6985
NEGATIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0032435	34	0.0063	0.0245	1.7357
MORPHOGENESIS OF AN EPITHELIAL SHEET%GOBP%GO:0002011	41	0.0075	0.0284	1.7454
POSITIVE REGULATION OF DEVELOPMENTAL GROWTH%GOBP%GO:0048639	77	0.0041	0.0177	1.6611
REGULATION OF NEUROINFLAMMATORY RESPONSE%GOBP%GO:0150077	32	0.0017	0.0091	1.8421
CARBOXYLIC ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1905039	98	0.0023	0.0114	-1.6138
REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS%GOBP%GO:1900076	49	0.0059	0.0235	1.6759
REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010717	94	0.0001	0.0006	1.8949
CIRCULATORY SYSTEM DEVELOPMENT%GOBP%GO:0072359	508	0.000003664	0.0001	1.6272
REGULATION OF PROTEOLYSIS%GOBP%GO:0030162	480	0.0001	0.0006	1.5316
POSITIVE REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051054	261	0.0148	0.0473	-1.2886
INTERLEUKIN-17 SIGNALING%REACTOME DATABASE ID RELEASE 81%448424	70	0.0002	0.0017	1.892
ANDROGEN RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP138%HOMO SAPIENS	72	0.0008	0.0049	1.8042
SIGNALING BY EGFR%REACTOME DATABASE ID RELEASE 81%177929	51	0.0075	0.0282	1.6491
REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:0010965	57	0.0000020297	0	-2.1865
REGULATION OF RESPONSE TO TUMOR CELL%GOBP%GO:0002834	23	0.0007	0.0044	1.9413
CARDIAC CHAMBER MORPHOGENESIS%GOBP%GO:0003206	84	0.008	0.0297	1.6479
VENTRICULAR SEPTUM DEVELOPMENT%GOBP%GO:0003281	41	0.0056	0.0226	1.7019
ENZYME-LINKED RECEPTOR PROTEIN SIGNALING PATHWAY%GOBP%GO:0007167	477	1.2273e-9	6.1993e-8	1.8902
NOTCH SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NOTCH SIGNALING PATHWAY	58	0.0084	0.0309	1.641
RIBONUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS%GOBP%GO:0033875	109	0.0006	0.0039	-1.6691
TRANSPORT TO THE GOLGI AND SUBSEQUENT MODIFICATION%REACTOME DATABASE ID RELEASE 81%948021	166	0.0001	0.0007	1.7415
BCR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BCR SIGNALING PATHWAY	65	0.0005	0.0035	1.8481
TRAF6 MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 81%933542	24	0.0005	0.0032	2.0078
REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903037	296	2.6156e-11	2.1604e-9	2.1242
PI5P, PP2A AND IER3 REGULATE PI3K AKT SIGNALING%REACTOME DATABASE ID RELEASE 81%6811558	92	0.0022	0.0112	1.694
TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20240410%WP619%HOMO SAPIENS	30	6.9548e-8	0.0000021469	2.411
PROTEIN DEUBIQUITINATION%GOBP%GO:0016579	69	0.0029	0.0133	1.7216
PID_SMAD2_3NUCLEAR_PATHWAY%MSIGDB_C2%PID_SMAD2_3NUCLEAR_PATHWAY	70	0.0032	0.0146	1.695
BURN WOUND HEALING%WIKIPATHWAYS_20240410%WP5055%HOMO SAPIENS	60	0.001	0.0059	1.8728
WARBURG EFFECT%PATHWHIZ%PW000630	45	0.0016	0.0087	-1.8199
POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE/PROTEIN KINASE B SIGNAL TRANSDUCTION%GOBP%GO:0051897	148	0.0003	0.0024	1.714
ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS%REACTOME%R-HSA-2122948.5	31	0.0067	0.0261	1.6735
REGULATION OF INTERLEUKIN-12 PRODUCTION%GOBP%GO:0032655	50	0.0034	0.0152	1.7346
SUDDEN INFANT DEATH SYNDROME SIDS SUSCEPTIBILITY PATHWAYS%WIKIPATHWAYS_20240410%WP706%HOMO SAPIENS	131	0.0002	0.0013	1.8294
PYRUVATE METABOLISM%PATHWHIZ%PW000054	21	0.0107	0.0371	-1.6562
BIOCARTA_INFLAM_PATHWAY%MSIGDB_C2%BIOCARTA_INFLAM_PATHWAY	26	0.0000099471	0.0001	2.1813
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	78	0.0076	0.0285	-1.5494
REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050730	161	1.2226e-7	0.0000034595	2.0313
HIV-1 NEF: NEGATIVE EFFECTOR OF FAS AND TNF-ALPHA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIV-1 NEF: NEGATIVE EFFECTOR OF FAS AND TNF-ALPHA	34	0	0.0004	2.1422
DNA DAMAGE RESPONSE ONLY ATM DEPENDENT %WIKIPATHWAYS_20240410%WP710%HOMO SAPIENS	89	0.0059	0.0236	1.5625
POSITIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032946	102	1.3464e-7	0.0000037406	2.1497
NEGATIVE REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903035	73	0.0115	0.039	1.6034
ROLES OF CERAMIDES IN DEVELOPMENT OF INSULIN RESISTANCE%WIKIPATHWAYS_20240410%WP5181%HOMO SAPIENS	19	0.0004	0.0026	2.0193
VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY%GOBP%GO:0038084	18	0.0126	0.0419	1.6983
REGULATION OF INTERFERON-BETA PRODUCTION%GOBP%GO:0032648	51	0.0001	0.0006	2.0023
REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902105	233	0	0.0004	1.7226
DOWNREGULATION OF TGF-BETA RECEPTOR SIGNALING%REACTOME%R-HSA-2173788.3	25	0.0086	0.0314	1.6636
MRNA METABOLIC PROCESS%GOBP%GO:0016071	444	1.3846e-7	0.0000038292	1.7267
REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903034	131	0.0001	0.0012	1.7776
