gene	rank
ZNF414	-0.1694
AMY2B	-0.1695
TCN2	-0.1696
SEMA3A	-0.1722
TTC16	-0.1732
ZNF813	-0.1733
DNAJC15	-0.1738
IDE	-0.1739
CALR	-0.1744
ELL3	-0.1747
PAXBP1-AS1	-0.1751
PAM	-0.1755
COLCA1	-0.1756
TRIO	-0.1757
MYH3	-0.1757
ZBTB8A	-0.176
F8	-0.1763
ZNF415	-0.1769
INF2	-0.177
CMBL	-0.1781
MAP3K15	-0.1783
ALPK3	-0.1788
C1orf112	-0.1794
TMED2	-0.1798
GGT5	-0.1801
ADCY4	-0.1803
LOC643201	-0.1804
PSMB7	-0.1809
MTCL1	-0.1819
ZSCAN23	-0.1821
FOXO6	-0.1821
RNF181	-0.1822
TPM2	-0.1824
COMMD5	-0.1825
PHF12	-0.1827
CSTF2T	-0.1828
TCEAL4	-0.1833
GZF1	-0.1845
PACRGL	-0.1853
HSDL1	-0.1854
CROCCP2	-0.1858
MYRIP	-0.1866
ANAPC1P4	-0.1867
ZNF598	-0.1874
WNK3	-0.1877
CAPZB	-0.1885
CHRNB4	-0.1892
TMEM11	-0.1892
TUBA3FP	-0.1893
SAP130	-0.1893
CCZ1	-0.1893
RUNDC3A	-0.1896
WASH6P	-0.1896
NDUFAF4	-0.1899
CD72	-0.1901
NCKAP5L	-0.1902
LY6G5B.2	-0.1916
CAMK2N2	-0.1928
LOC105371849	-0.1929
FZD3	-0.1931
ASAP1-IT2	-0.1931
LINC00665	-0.1934
FBXO17	-0.1934
TPH1	-0.1937
CCDC151	-0.1941
MAST1	-0.1942
GUSBP5	-0.1945
PCDH12	-0.1949
NDUFS4	-0.1954
RPGRIP1L	-0.1961
AHNAK	-0.1964
COX16	-0.1967
OTOF	-0.1969
ZFPM1	-0.197
BMI1	-0.1972
BICDL2	-0.198
WRN	-0.198
ZNF516	-0.1982
ZNF83	-0.1989
LGI4	-0.1993
FOXL2	-0.1993
PCID2	-0.1994
EHD2	-0.1994
ZNF880	-0.1995
SLC9A9	-0.1997
SEC24B-AS1	-0.1998
CTDSPL2	-0.2
HLA-DRB1.3	-0.2004
SPTBN2	-0.2006
CALN1	-0.2008
SLC7A11-AS1	-0.2012
PITRM1	-0.202
SARDH	-0.2022
LOC729652	-0.2022
KRBOX4	-0.2023
RNF217-AS1	-0.2024
LPP-AS2	-0.2025
THTPA	-0.2027
ULK4P3	-0.2032
NECTIN4	-0.2033
FPR2	-0.2045
IDH3B	-0.2047
LRP1	-0.2059
IQCH	-0.2082
FMO9P	-0.2082
TFB2M	-0.2084
MAP4K3-DT	-0.2085
LONP2	-0.2087
PRR5	-0.2091
GAS8	-0.21
LINC02142	-0.2101
EFCAB12	-0.2103
SYVN1	-0.2105
MIR5689HG	-0.2107
GFRA2	-0.2109
RPS2P17	-0.2116
FAM178B	-0.2119
TRIM3	-0.2135
FAM9B	-0.2136
COL6A3	-0.2137
CHML	-0.2137
DERL1	-0.2147
LINC02207	-0.2152
LIN37	-0.2153
NOL9	-0.2154
RN7SL123P	-0.2156
LOC115308161	-0.2167
LDHAL6A	-0.2179
VIPR2	-0.2182
LINC01060	-0.2191
SLC7A11	-0.2193
INO80B-WBP1	-0.2208
TMEM243	-0.2212
PPCS	-0.2224
EPM2A	-0.2228
LINC02035	-0.2235
WASHC1	-0.2235
CMTR2	-0.2239
MKLN1-AS	-0.224
ZER1	-0.2241
PDS5B	-0.2246
PHETA1	-0.2254
TECTA	-0.2259
WDR44	-0.2261
ALDH9A1	-0.2265
PMFBP1	-0.2275
RSL1D1	-0.2293
RN7SL718P	-0.2295
POP4	-0.23
LILRB1	-0.2304
DDX23	-0.231
ABHD4	-0.2312
CCNG1	-0.2313
SLC27A6	-0.2317
LINC02018	-0.2324
LINC00954	-0.2331
WWC3	-0.2334
NDUFA13	-0.2351
GLIPR1L2	-0.2363
AGAP5	-0.2364
UBE2G1	-0.2365
ULK4P1	-0.2369
GAL	-0.2374
LOC101929698	-0.2379
UBE2L3	-0.2383
ROMO1	-0.2384
MOV10	-0.239
ANKRD20A11P	-0.2397
GHET1	-0.2409
MEA1	-0.241
UVSSA	-0.2411
ADRA1A	-0.2413
KLHL33	-0.2422
PRODH	-0.2431
LILRB5.2	-0.2432
ANKRA2	-0.2434
TSNAXIP1	-0.2437
PRC1-AS1	-0.2439
SGSM1	-0.2443
MAGI2-AS3	-0.2445
KCNG3	-0.2456
CDK5RAP1	-0.2457
SHISA5	-0.2467
ATP10A	-0.2468
TFAP2C	-0.2473
PROX1-AS1	-0.2478
TIMM44	-0.2478
LINC01480	-0.2482
PCMTD2.1	-0.249
NLGN2	-0.2494
ITGA3	-0.2495
IL2RB	-0.2496
TBRG4	-0.2496
SHISA9	-0.2498
CATSPERB	-0.2501
SNORA66	-0.2503
LIPE-AS1	-0.2503
TPM3	-0.2507
BTRC	-0.2513
NEK6	-0.2523
TEX26-AS1	-0.2524
HLA-DRB1.2	-0.2527
NBPF4	-0.2529
ECT2	-0.253
BCAM	-0.2538
HSPA1L.1	-0.2541
ADCY10P1	-0.2541
ARLNC1	-0.2545
ZNF668	-0.2551
DNPEP	-0.2553
TDGF1	-0.2553
PSMB2	-0.2573
YWHAQ	-0.2576
TLR3	-0.2576
ALOX15	-0.2578
BTF3	-0.2587
KDM4D	-0.2596
DNM3	-0.2598
DGCR11	-0.2599
SCHIP1	-0.2599
LRP4	-0.2607
SBSPON	-0.261
MYH7B	-0.2613
DNAJC5G	-0.2636
ZNF117	-0.2638
DNAJC3-DT	-0.2638
LINC02210.1	-0.2648
LINC01179	-0.2649
LRRN4CL	-0.2658
RAP2B	-0.2665
HLA-DRB1.1	-0.2681
ALOX5.1	-0.2686
NALCN	-0.2687
HACL1	-0.2695
ST8SIA1	-0.2698
ITGAE	-0.2708
ERV3-1	-0.2709
SOX21-AS1	-0.2713
CALCOCO2	-0.2714
SPTLC3	-0.2716
BBS5	-0.2718
SLC8A1	-0.2718
CCDC28A-AS1	-0.2722
DPCD	-0.2722
SETD9	-0.2724
PI4KAP2	-0.2728
SMAD9	-0.2729
CARD19	-0.2734
SPATA31C1	-0.2741
AIFM2	-0.2745
LOC100505685	-0.2746
RRP9	-0.275
RPN1	-0.2752
LINC02693	-0.2754
FKBP14	-0.2756
ITGAM	-0.276
SKIV2L	-0.2763
TMEM25	-0.2781
PI15	-0.2793
CFD	-0.2796
PTCH1	-0.28
KIAA1841	-0.28
EVI2A	-0.2804
GTF2H4.1	-0.2809
MAP3K7CL	-0.2811
BRD9	-0.282
C7orf26	-0.2821
FBXW10	-0.2821
HRH4	-0.2822
LINC02608	-0.2829
POLR2J4	-0.2829
PKD2L2	-0.2831
FLNA	-0.2834
EDNRB	-0.2836
TLE2	-0.2838
TBP	-0.2843
CAMK2D	-0.2848
GRIA3	-0.2852
TBCK	-0.2854
EVI5L	-0.2855
HEATR5B	-0.2861
MRPS18C	-0.2863
SOCS2	-0.288
RPS10-NUDT3	-0.288
OSCAR.2	-0.288
ZNF19	-0.2885
CDCP1	-0.2897
MTHFD2	-0.2904
LRTOMT	-0.2905
LINC02649	-0.2908
TFAM	-0.2909
FBXL6	-0.291
SUCLG2	-0.2913
GAS1RR	-0.2915
ANKRD11	-0.2917
TOP3B	-0.2919
BYSL	-0.2923
ZNF765	-0.2926
ASIC3	-0.2931
TMEM216	-0.2934
FAM229B	-0.2938
SIDT2	-0.2938
CELSR1	-0.2939
WNT10B	-0.294
BCO2	-0.295
TIAM1	-0.2954
LINC01602	-0.2958
LOC285638	-0.2959
ZNF256	-0.2963
INSR	-0.2967
LYSMD4	-0.2969
LOC730183	-0.297
DRAXIN	-0.297
DKKL1	-0.2981
UTP4.1	-0.2984
PKD1P6	-0.2999
PPAN	-0.3001
LINC00933	-0.3003
ZNF542P	-0.3005
CEP170	-0.3008
SDS	-0.301
ZNF7	-0.3014
LONP1	-0.3016
LOC100505549	-0.3023
ARHGAP8	-0.3026
SULT1C2	-0.3027
UQCRQ	-0.3031
ZDHHC23	-0.3031
C11orf72	-0.3033
RING1	-0.3035
C11orf65	-0.3041
DRC7	-0.3042
TRMT10A	-0.3051
PGM2	-0.3053
CGNL1	-0.3057
NETO2	-0.306
UNC119	-0.306
NR2C1	-0.307
GSPT2	-0.3075
RFX3-AS1	-0.3087
RN7SL488P	-0.3089
FAM66C	-0.3092
ME2	-0.3096
CAPNS1	-0.31
FBXO15	-0.3106
EEF1A1P23	-0.3114
RNF146	-0.312
CHSY3	-0.3121
SMIM15	-0.3127
ATE1	-0.3131
FAM225B	-0.3145
FYCO1	-0.3152
GNA12	-0.3155
MYCNOS	-0.3173
PSMD2	-0.3179
EMG1	-0.3185
IPO9-AS1	-0.3204
COX6B2	-0.3204
DNAL4	-0.3206
C19orf47	-0.3207
AGL	-0.321
IGFL4	-0.3212
LYZ	-0.3215
LILRB2	-0.3216
PSME2P1	-0.3221
FCRLB	-0.3222
SNORA11F	-0.3229
GMDS	-0.323
CNTN1	-0.3236
AK5	-0.3238
ELMO2	-0.3239
CCR5	-0.324
KCNJ6	-0.3241
ADPRS	-0.3242
ROPN1L	-0.3248
TEF	-0.3253
PLA2G6	-0.3256
TSR1	-0.3268
PSD	-0.3268
HSD17B14	-0.3272
PAWR	-0.3279
COX6C	-0.3281
GAR1	-0.329
COLGALT2	-0.3291
NAP1L3	-0.3299
ULK4P1.1	-0.3303
FKBP9P1	-0.3303
NPC2	-0.3303
SNRPF	-0.3304
TFCP2	-0.3305
UTS2B	-0.3311
OSBPL10	-0.3315
BUD13	-0.332
CDC42BPG	-0.3326
AK3	-0.3328
PRAF2	-0.3329
C8G	-0.333
HSD17B1	-0.3334
TRAPPC2	-0.3334
CD2BP2	-0.3345
DIS3L2	-0.3348
KLHL29	-0.335
LIPT1	-0.3351
SPOCK1	-0.3356
CCDC58	-0.3357
APBA2	-0.3357
RN7SL474P	-0.3358
TIGD7	-0.3363
FER1L5	-0.3367
UQCRFS1	-0.3369
ARF4-AS1	-0.3375
AP1S3	-0.3393
CNKSR1	-0.3407
RPL37P6	-0.3409
ZDHHC2	-0.3433
BEND2	-0.3437
ATP5PB	-0.3437
CSNK2B	-0.3451
BMP4	-0.3455
TNK2	-0.346
NFYB	-0.3461
SIPA1L2	-0.3467
RPS26	-0.3473
KCTD6	-0.3483
CD14	-0.3486
ILF2	-0.3489
BCAS3	-0.3489
E2F4	-0.3504
TMEM117	-0.3505
ZNF852	-0.3506
PROCR	-0.351
LOC100130357	-0.3512
C5orf66	-0.3516
LAMB2	-0.3517
SCHLAP1	-0.3526
SRPX	-0.3542
PAPSS1	-0.3542
HMGCR	-0.3545
UTP11	-0.3547
SUCLG1	-0.3548
VARS1	-0.3551
PSCA	-0.3551
XRCC6	-0.3556
ZNF646	-0.3559
LOC100129215	-0.3569
PRR3.1	-0.3577
ZNF441	-0.3577
NQO2	-0.3578
SCN3B	-0.358
ANKRD29	-0.3587
DPP10-AS1	-0.3591
ATF5	-0.3592
PLA2G2C	-0.3596
SH3BP4	-0.3599
SHC3	-0.3608
SRBD1	-0.3614
CCL23	-0.3615
DPYSL4	-0.3615
TMEM63C	-0.3617
HLA-DRB6	-0.3622
RTN4RL2	-0.3628
FIS1	-0.3628
PDZK1	-0.3643
EDC4	-0.3645
TRPM4	-0.3648
CYB5A	-0.3649
TRAPPC3	-0.365
CORO1C	-0.3652
LEAP2	-0.3654
TMEM182	-0.3655
DYNLRB1	-0.3658
RPL22	-0.3679
NAP1L1	-0.369
RN7SL134P	-0.3692
LMNTD2-AS1.1	-0.37
GLIS2-AS1	-0.3706
LAMP5-AS1	-0.3707
RPL24P4	-0.371
GATAD2B.1	-0.3718
TMEM214	-0.3727
HCG18	-0.3733
NLRP2	-0.3734
INAFM2	-0.3743
IQCH-AS1	-0.3751
LRRC4	-0.3752
RRBP1	-0.3752
SMIM27	-0.3756
LOC112267983	-0.3759
TMC4.1	-0.3763
NAP1L4	-0.3764
CENPS-CORT	-0.3769
LINC01534	-0.378
TCEAL2	-0.3783
APOBEC3D	-0.3787
PPM1J	-0.3789
IL17RD	-0.3793
PABPC1L	-0.38
DDX24.1	-0.381
EMC10	-0.3819
TAPT1-AS1	-0.3831
TMEM191C	-0.3831
USP41	-0.3841
ABCC9	-0.3845
SLC6A20	-0.3858
STX6	-0.3873
PRLR	-0.3875
ACADVL	-0.388
MADCAM1	-0.39
SSBP1.1	-0.3908
PKD1P6-NPIPP1	-0.3913
CCT4	-0.3915
HEPH	-0.3915
HERPUD1	-0.3919
MRPL9	-0.3927
SMC4	-0.3933
NDUFB3	-0.3942
UNC50	-0.3945
ARNT	-0.3957
BAG6.2	-0.3962
GPS2P1	-0.3966
ANAPC1	-0.3967
GANAB	-0.3967
RILP	-0.3973
BAG2	-0.3982
ADIPOQ-AS1	-0.3983
RN7SL531P	-0.3985
SCGB3A2	-0.4012
RPL30	-0.4015
SSR4	-0.4023
SLC52A1	-0.4031
RPS3AP26	-0.4039
EMC4	-0.404
UBAP1L	-0.4042
NEK4	-0.4044
SH3PXD2A	-0.4044
VIPAS39	-0.4047
TRGJP2	-0.4052
POLR2E	-0.4056
DAGLA	-0.4071
EFL1	-0.4072
TIMM9	-0.4078
ITGB7	-0.4079
CYB561D1	-0.4079
SEC14L5	-0.4094
TMEM167A	-0.4095
TMIE	-0.4099
B3GALNT2	-0.4116
TAOK2	-0.4127
IL12A	-0.4127
ZNF766	-0.4128
MIA2	-0.4129
SLC4A2	-0.413
LINC00893	-0.4146
ZIK1	-0.415
MED8	-0.4165
ZFPL1	-0.4169
FAM184B	-0.417
RN7SL785P	-0.4171
CLTB	-0.4194
WDR35	-0.42
LOC645853	-0.4204
LINC00662	-0.4209
CAB39L	-0.4213
LOC105378663	-0.4216
LINC00548	-0.4226
MRPL28	-0.4236
WFDC1	-0.4237
REXO5	-0.4238
THAP6	-0.4246
NSFL1C	-0.4267
FAM83D	-0.4278
ADAM22	-0.4278
ZNF2	-0.428
WWTR1	-0.4281
C17orf67	-0.4294
ST6GALNAC3	-0.4299
PAX5	-0.4306
TCTEX1D1	-0.4309
FAM227B	-0.4317
FOXO6.1	-0.4317
FAM8A1	-0.4326
VPS13B-DT	-0.4341
PDE11A	-0.4344
SEC23B	-0.4349
POR	-0.4356
PKD1P3	-0.4361
TRANK1	-0.4363
CCDC113	-0.4375
TMEM18	-0.4377
LINC02482	-0.4384
THADA	-0.4401
NT5C	-0.4405
TMEM171	-0.4409
LINC02102	-0.4418
GOLGA3	-0.4433
ABCB5	-0.4437
PFKFB1	-0.4438
LRIG3	-0.4443
ZNF385C	-0.4448
STXBP4	-0.4449
MTMR7	-0.4451
ZAR1	-0.4454
STIMATE	-0.4463
PPP1R13L	-0.4464
FAM24B	-0.4464
FRMD3	-0.4467
RNFT2	-0.447
COMMD3-BMI1	-0.4472
LOC100128674	-0.4474
CALCOCO1	-0.4477
CATSPERE	-0.4487
SENCR	-0.4488
MRPL20	-0.4491
PLBD2	-0.4499
PATE2	-0.45
LOC102546299	-0.4502
CLP1	-0.4503
FEZ2	-0.4507
SLC16A2	-0.4514
FADS6	-0.4518
GPR83	-0.452
SERPINB6	-0.4526
PEPD	-0.4526
UBE2CP2	-0.4527
LY6E	-0.4533
HERC2.2	-0.4538
ATP5MG	-0.454
STIMATE-MUSTN1	-0.4553
TUBD1	-0.4555
PCDHGA6	-0.4565
SETD1A	-0.4567
LINC01011	-0.4568
DIPK2B	-0.457
POLR2J2.1	-0.4579
FAM189A2	-0.4592
RUBCN	-0.4596
LINC01356	-0.4603
SPIN2B	-0.4611
CEP170.1	-0.4616
EHBP1	-0.462
ZNF516-DT	-0.4631
MINAR1	-0.4632
PRX	-0.4635
CYSRT1	-0.4637
MT1L	-0.4644
PLXDC1	-0.4649
SLC12A5	-0.465
SNAPIN	-0.4652
LINC01270	-0.4653
AK9	-0.4662
SMYD5	-0.4666
SH3RF1	-0.4675
NPM2	-0.4694
ZNF473	-0.4704
FUZ	-0.4704
COLQ	-0.4713
CYP2U1-AS1	-0.4725
COL9A2	-0.4735
FGL2	-0.4737
MICA.1	-0.4739
ZBTB33	-0.4749
ADCK1	-0.4754
ABHD12	-0.4756
HMGCL	-0.4761
TMEM99	-0.4783
LINC01299	-0.4788
ZC3H14	-0.4789
SLC26A1	-0.4794
CDAN1	-0.4796
NBEA	-0.4801
NUDT15	-0.4807
MPEG1	-0.4812
PPIAP46	-0.4822
RABGGTA	-0.4822
S100A6	-0.4828
SLC25A51P4	-0.4845
RN7SL356P	-0.4853
RNVU1-32	-0.4861
CHKB	-0.4861
CDO1	-0.4863
FAXC	-0.4867
LINC01562	-0.4872
LOC102723566	-0.4872
SLC17A5	-0.4877
PPM1F	-0.489
MOSPD2	-0.49
DHRS7B	-0.4911
RAB3C	-0.4919
TRNP1	-0.492
SYT6	-0.4927
LRRC46	-0.493
GRIN3A	-0.4942
RAD23A	-0.4944
MORN4	-0.4962
ARHGAP23	-0.4963
PPP1R7	-0.4964
CXXC5	-0.4968
SPNS1	-0.4978
NPHP1	-0.4982
TPR	-0.4983
CWF19L1	-0.499
HP1BP3	-0.499
ANAPC7	-0.4992
SLC2A1-AS1	-0.5
NR2F2	-0.5011
BRCA2	-0.5012
TPRG1-AS1	-0.5013
GABRP	-0.5017
RRP1	-0.502
CLEC12B	-0.5032
CA11	-0.5033
PHF14	-0.5042
CIRBP-AS1	-0.5046
PFDN6.2	-0.506
FMC1-LUC7L2	-0.5062
NPM3	-0.5066
BANF1	-0.5069
GOLGA2	-0.5071
USP19	-0.5074
PEAR1	-0.5075
BHLHE22	-0.5077
VARS2.3	-0.5091
ERFE	-0.5095
MRPL1	-0.5101
FLT4	-0.5101
POLR2F	-0.5102
SUPT16HP1	-0.5104
LINC01909	-0.511
KDM3B	-0.5111
TSPAN9	-0.5119
CADPS2	-0.5123
MAFIP	-0.5128
LINC00667	-0.513
ACTG1P25	-0.5137
PIWIL2	-0.514
TFPT.2	-0.5155
PTPRG-AS1	-0.5156
METTL4	-0.5163
LAMA3	-0.5169
SIGLEC10	-0.5178
HTR7P1	-0.5181
PGM5	-0.5182
AKR7L	-0.519
CEACAM8	-0.5192
SVOP	-0.5192
FCER2	-0.5194
MAP2K7	-0.5195
USP9Y	-0.5196
TTC21B	-0.5215
HDAC2	-0.5222
KRTAP5-9	-0.5226
SOX9-AS1	-0.5236
PRAME	-0.5238
SNORD94	-0.5242
NRF1	-0.5247
NOS1AP	-0.5247
ROM1	-0.525
ZNF630	-0.5257
PLCD4	-0.527
PSEN2	-0.5272
SEMA4C	-0.5275
LOC101928489	-0.5275
NUBPL	-0.5285
MYO9B	-0.5287
VAV2	-0.5293
TOLLIP	-0.5311
KCNQ5	-0.5329
TIMMDC1	-0.5331
TMEM181	-0.5334
ATP5PD	-0.5337
RNF215	-0.5342
LY6G5B.1	-0.5343
ZNF849P	-0.5348
APH1A	-0.5364
PANX2	-0.5367
GPBAR1	-0.5373
PLAAT3	-0.5389
ASS1	-0.5389
HLA-DQB1.3	-0.5393
FLI1	-0.5394
FRAT1	-0.5396
EIF4A1	-0.5404
LINC00471	-0.5416
LOC101928733	-0.5418
POC1B	-0.5421
RPL10AP11	-0.5422
ADGRG6	-0.5423
LOC100507283	-0.5436
LSM12	-0.5449
ENOX2	-0.5455
RNU6ATAC	-0.5464
TXNRD1	-0.5468
KIF3A	-0.5475
LRRC43	-0.548
HCG20	-0.5484
LVRN	-0.549
LNPEP	-0.5491
ZRANB3	-0.5495
SNRPE	-0.5496
VPS18	-0.5509
CCZ1P	-0.5527
TVP23A	-0.5528
NBAS	-0.5541
RN7SL790P	-0.5543
PMS2P4	-0.5549
TMEM154	-0.5552
FBXW8	-0.5554
MRPL2	-0.5561
FAM76A	-0.5562
EGFL8.3	-0.5564
TAF5L	-0.5572
PHOSPHO2	-0.5578
C6orf47.1	-0.5585
KIAA1109	-0.5586
ELAVL1	-0.5586
ACTR3B	-0.5598
ALG10	-0.5598
ELOF1	-0.5608
ITFG1	-0.5614
EIF1B-AS1	-0.5618
ZNF876P	-0.5625
ST6GALNAC6	-0.5628
MAN2A1	-0.5635
CARS1.1	-0.5636
CMC1	-0.564
SNRPD1	-0.5644
NUCB1	-0.5645
ECM1	-0.565
CDYL2	-0.5651
PKD2L1	-0.5672
PI4KA	-0.5674
PPIL1	-0.5682
NTNG2	-0.5689
MRPL42	-0.5694
TCTA	-0.571
TMEM30A	-0.5713
HS2ST1	-0.5718
S100P	-0.572
SLC26A7	-0.5747
L3MBTL3	-0.5747
ISLR2	-0.5752
FAM114A2	-0.5752
MRPL13	-0.5761
MT1G	-0.5762
PIP4K2C	-0.5763
TUT4	-0.5791
TMEM9B-AS1	-0.5795
TAPBPL	-0.5796
APOO	-0.5796
CLDND2	-0.5804
IL31RA	-0.5805
TBC1D30	-0.5814
PRORP.1	-0.5815
LINC01238	-0.5827
SMARCE1	-0.5831
PFDN6.1	-0.5834
ACTR3C	-0.5839
OSBP2	-0.5843
TMEM191A	-0.5853
EPB41L4A	-0.5864
LOC102724330	-0.5868
CHRNE	-0.5871
CNOT8	-0.5877
EIF3CL	-0.588
STS	-0.588
NEK9	-0.5883
PTGR1	-0.5886
ZNF277	-0.5898
MUC20	-0.5903
SNRPC	-0.5922
BASP1-AS1	-0.5925
SNX33	-0.5934
ANGPT1	-0.5966
LINGO1	-0.5969
CCDC12	-0.5969
ANKRD52	-0.5973
PRKACA	-0.5996
PPCDC	-0.6002
SMDT1	-0.6004
NACA3P	-0.6005
NOL3	-0.6015
NQO1	-0.6035
DUSP28	-0.6042
YLPM1	-0.6042
ZMYM6	-0.6045
STON2	-0.6045
BEND3	-0.6049
ZNF584	-0.605
LINC01907	-0.6054
FUOM	-0.6073
KEL	-0.6076
NXT1	-0.6078
SYT11	-0.6079
ZNF816	-0.6086
C20orf203	-0.6088
ITIH4	-0.6088
SEPTIN7P14	-0.6089
POLR2G	-0.6093
APOL3	-0.6108
DDX46	-0.6111
LINC00507	-0.6122
SEC22A	-0.6131
SEC11C	-0.6136
H2BW2	-0.6138
SLC25A52	-0.6139
ZMAT1	-0.6149
PRKCZ-AS1	-0.6153
CAPN6	-0.6155
C1orf115	-0.6156
C10orf53	-0.6171
FOXP4-AS1	-0.6177
LINC01670	-0.618
GUCA1B	-0.6189
FRMPD3	-0.6194
FBXW2	-0.6206
CFAP20	-0.6206
FBXO10.1	-0.6206
SCOC-AS1	-0.6207
ZNF549	-0.6211
CLN3	-0.6219
TADA2A	-0.6219
CTBP2	-0.6227
DDX17	-0.6235
CUL4A	-0.6241
CDHR2	-0.6249
TMED9	-0.6254
NEB	-0.6256
ZNF366	-0.6256
C19orf25	-0.6257
TBX19	-0.6258
CD6	-0.6265
AASDH	-0.6271
OPA3	-0.6274
KIF7	-0.6289
ZNF425	-0.6296
CHN2	-0.6297
YJEFN3	-0.6298
ZNF76	-0.63
INO80B	-0.6307
STX16-NPEPL1	-0.6311
SRSF1	-0.6315
SOCS7.1	-0.6324
ZNF318	-0.6326
DDTL	-0.6327
TRIM26	-0.6328
RPS19	-0.633
CPS1	-0.6342
C19orf18	-0.6353
CD300LG	-0.6373
BRD7	-0.6382
ITGA10	-0.6425
TGM1	-0.6425
RDH11	-0.6432
ANKIB1	-0.6432
ISCA1	-0.6433
ABCB6	-0.6443
NDUFB1	-0.6446
MFSD8	-0.6454
ASB16	-0.646
ESRG	-0.6464
ERAP1	-0.6468
MRFAP1L1	-0.6469
ATRIP	-0.6487
SYCE1L	-0.6496
MRPS33	-0.65
UCHL3	-0.6509
SEC11A	-0.6518
LENG1	-0.6522
TLCD3A	-0.6524
TPT1	-0.6527
GPN1	-0.6529
PPIP5K1	-0.6543
AP2A1	-0.6544
ENTPD1	-0.6545
TMEM30A-DT	-0.6553
ARL5C	-0.6554
IFT46	-0.6555
PIGBOS1	-0.6557
GLB1L	-0.6558
CYYR1-AS1	-0.6559
VPS13D	-0.6559
PIN4	-0.6563
MCTS1	-0.6567
FAM3A	-0.6567
CCDC96	-0.6572
MCTS2P	-0.6574
ITGB1BP2	-0.6574
CH17-340M24.3	-0.6577
LRRK1	-0.6589
TPD52L1	-0.6594
ZCRB1	-0.6601
ARHGAP35	-0.6613
RAMP2-AS1	-0.6614
TADA2A.1	-0.6617
TRO	-0.6619
SYNJ2BP-COX16	-0.6622
B3GALT1	-0.6626
NPAS4	-0.6632
UBE2Q1	-0.6636
MCFD2	-0.6644
APOBEC3G	-0.6653
LILRB1.3	-0.6664
LIMD1	-0.6674
SCX	-0.6677
YAE1	-0.6681
METTL8	-0.6699
PRDX4	-0.6707
NPIPA3.1	-0.6709
ZNF33B	-0.6713
ALDH1B1	-0.6715
SNORD48	-0.6716
MECR	-0.6717
SLC36A2	-0.6726
KIF1C-AS1	-0.6728
FOCAD	-0.6731
RPL27	-0.6735
MRPS17	-0.6744
HEATR1	-0.6763
TEPP	-0.6763
FAM225A	-0.678
SLITRK2	-0.6786
SENP3	-0.679
SIX3	-0.68
CSTF3	-0.6802
GPT	-0.6804
ITFG2	-0.6806
UBA52	-0.6815
CES1.1	-0.6817
NDUFAF2	-0.6824
HAUS6	-0.6824
CDR2	-0.6825
PLEKHB1	-0.6833
LINC01234	-0.6864
RGS10	-0.687
SLC20A1	-0.6877
MYOZ3	-0.6883
APP	-0.6886
GPC6	-0.6891
TPI1P2	-0.6895
CBL	-0.69
CHPT1	-0.6908
NKX3-2	-0.6934
ARHGAP29	-0.6934
UBE2V1	-0.6935
OCIAD2	-0.694
LOC100128164	-0.694
PAK1IP1	-0.6955
SP1	-0.6957
FCRL2	-0.6959
MTCO1P12	-0.6971
ATP2A1	-0.6981
GAL3ST4	-0.6984
CRLS1	-0.6984
SFT2D3	-0.6998
UGGT1	-0.7002
ZNF639	-0.7007
TM7SF2	-0.7021
GPAT4	-0.7027
DPH2	-0.7027
SETMAR	-0.703
GPM6B	-0.703
KIR3DX1	-0.7041
MBLAC1	-0.705
KCNA7	-0.7053
GSDMB	-0.7062
PCDHB9	-0.7065
NDUFA3.2	-0.7066
PDCL	-0.7066
GID4	-0.707
LINC00958	-0.707
SMIM30	-0.7073
CTU2	-0.708
NCL	-0.7086
CEP162	-0.7087
GRN	-0.7088
VPS72	-0.7088
BMP3	-0.709
CLEC1A	-0.709
HPSE	-0.7105
TXNDC11	-0.7116
MXRA7	-0.7129
LAMC3	-0.713
DM1-AS	-0.7139
TRPV3	-0.7139
LINC00278	-0.7143
NPIPA7.1	-0.7145
ISCU	-0.715
MAD2L2	-0.7153
GVINP1	-0.7156
SAPCD1.1	-0.7161
F12	-0.7171
ZNF540	-0.7183
CTSZ	-0.7186
ITGA9-AS1	-0.721
MCUR1	-0.7219
SNORA73B	-0.7222
RNF13	-0.7223
PCED1B-AS1	-0.7238
PLGLB2	-0.724
DOK6	-0.7245
NIN	-0.7246
MAP3K12	-0.7247
AIDAP2	-0.7252
RANBP17	-0.7255
SLFN12	-0.7255
LOC101928728	-0.7257
CENPN	-0.7268
RASAL2-AS1	-0.7276
ZNF343	-0.7293
HCFC1	-0.7297
TMEM42	-0.7298
MMAA	-0.7303
HLA-DRB3	-0.7309
RPL9P8	-0.7326
RBM26-AS1	-0.7331
FAM131B	-0.7333
MTO1	-0.7349
A1BG	-0.7352
NOTCH4.2	-0.7358
LINC01122	-0.7366
CCDC124	-0.7375
SLC9A6	-0.7376
ZNF552	-0.7388
HDAC11	-0.7391
MRPL39	-0.7396
SAP30L-AS1	-0.7397
AVPI1	-0.7397
TBC1D8B	-0.7416
GPANK1.1	-0.7416
PITPNC1	-0.7425
MTHFSD	-0.743
TRIM16	-0.7433
TSKU	-0.7433
FADS1	-0.7442
BLMH	-0.7446
SAMMSON	-0.7461
CD68	-0.7462
RIC8B	-0.7467
PCIF1	-0.7474
MRM1	-0.7489
